Accession,Protein Name,Length,Organism Scientific Neme
A0A1S1YFN9,Rad52/22 double-strand break repair protein,272,Cytobacillus oceanisediminis
A0A2J8S3P9,RAD52,99,Pongo abelii
A0A7V7IGS3,Prophage protein,282,Bacillus sp. BB56-3
A0A7Y1ZR59,DNA repair protein Rad52,174,Rhodothermales bacterium
A0A2K5P2F6,RAD52 motif-containing protein 1,139,Cercocebus atys
A0A452QG24,RAD52,102,Ursus americanus
A0A6D2XMB1,RAD52,99,Pan troglodytes
A0A6I4YKR6,Single-stranded DNA-binding protein,210,Deinococcus xianganensis
I3EFV3,DNA repair and recombination protein RAD52,222,Nematocida parisii (strain ERTm3)
A0A496LJ24,DNA repair protein RAD52,237,Campylobacter sp.
A0A7V5CJV1,Rad52/22 double-strand break repair protein,289,Armatimonadetes bacterium
I0GVC8,Rad52/22 double-strand break repair protein,243,Selenomonas ruminantium subsp. lactilytica (strain NBRC 103574 / TAM6421)
Q8STS1,RAD52,204,Encephalitozoon cuniculi (strain GB-M1)
A0A1F6R814,Single-stranded DNA-binding protein,215,Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9
A0A381FA47,Rad52/22 double-strand break repair protein,191,Chryseobacterium indoltheticum
A0A3Q0G2T2,RRM domain-containing protein,257,Alligator sinensis
A0A3R6F1V1,Recombinase,302,Prevotella copri
A0A517XYZ3,Rad52/22 double-strand break repair protein,256,Urbifossiella limnaea
A0A5M8REG4,DNA repair protein Rad52,307,Bacillus swezeyi
A0A6C7I147,Recombinase,192,Salmonella paratyphi A (strain AKU_12601)
I6TWN1,RAD52,204,Encephalitozoon hellem (strain ATCC 50504)
A0A177EEP1,RAD52,222,Nematocida sp. ERTm5
A0A661HKZ9,DNA repair protein Rad52,231,Epsilonproteobacteria bacterium
A0A663FFK7,RRM domain-containing protein,253,Aquila chrysaetos chrysaetos
A0A0H2WRD5,Recombinase,192,Salmonella paratyphi A (strain ATCC 9150 / SARB42)
A0A243E6A1,Prophage protein,282,Bacillus thuringiensis serovar toumanoffi
A0A2K5YEX4,Histone deacetylase,103,Mandrillus leucophaeus
A0A2V9RV94,ERF family protein,332,Acidobacteria bacterium
A0A3R9PVL5,Recombinase,303,Edaphobacter aggregans
F7EKJ2,RRM domain-containing protein,118,Callithrix jacchus
I3EPM6,DNA repair and recombination protein RAD52,222,Nematocida parisii (strain ERTm1 / ATCC PRA-289)
A0A844QLE8,Rad52/22 double-strand break repair protein,247,Nitratireductor arenosus
I0CEL2,Rad52/22 double-strand break repair protein,284,Streptomyces sp. W75
J3U9V6,Prophage protein,282,Bacillus thuringiensis HD-771
A7TQ64,DNA repair protein RAD59,203,Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17)
C2UMK5,Prophage protein,282,Bacillus cereus Rock1-15
K2DWL7,Rad52/22 double-strand break repair protein,212,uncultured bacterium
M1KBC1,RAD52,204,Encephalitozoon cuniculi
A0A3M2F3K7,DNA repair protein Rad52,200,Deinococcus-Thermus bacterium
C3Z662,RAD52 motif-containing protein 1,206,Branchiostoma floridae
G8JRK4,DNA repair protein RAD59,206,Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582)
A0A1Q3QU72,Rad52/22 double-strand break repair protein,302,Acidobacteriales bacterium 59-55
A0A428MNU5,Rad52/22 double-strand break repair protein,312,Edaphobacter aggregans
M3I364,DNA repair protein Rad52,233,Campylobacter showae CC57C
A0A1S2LAS8,Phage protein,188,Anaerobacillus arseniciselenatis
A0A2S0L092,Recombinase,262,Victivallales bacterium CCUG 44730
A0A4W2E1L7,RAD52 motif-containing protein 1,258,Bos indicus x Bos taurus
A0A821XVU8,RAD52 motif-containing protein 1,159,Ranitomeya imitator
F4R632,Rad52/22 double-strand break repair protein,208,Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7)
A0A1E3P505,DNA repair protein RAD59,183,Wickerhamomyces anomalus (strain ATCC 58044 / CBS 1984 / NCYC 433 / NRRL Y-366-8)
A0A6J0U5T3,RRM domain-containing protein,226,Pogona vitticeps
E5WRX1,DNA repair protein Rad52,211,Bacillus sp. 2_A_57_CT2
L0IQD8,Single-stranded DNA-binding protein,253,Thermoanaerobacterium thermosaccharolyticum M0795
R8HC50,Prophage protein,282,Bacillus cereus VD021
R8MCI2,Prophage protein,281,Bacillus cereus HuB13-1
A0A4P5VPQ3,DNA repair protein Rad52,267,Cyanobium sp.
A0A4Q1B4M1,DNA repair protein Rad52,241,Halarcobacter mediterraneus
E0S8V2,RAD52,204,Encephalitozoon intestinalis (strain ATCC 50506)
A0A150M7K0,DNA repair protein Rad52,322,Caldibacillus debilis
A0A1Q2ZVP9,DNA repair protein RAD59,194,Zygosaccharomyces rouxii
A0A2G9ZTA6,Single-stranded DNA-binding protein,211,Desulfobacterales bacterium CG23_combo_of_CG06-09_8_20_14_all_52_9
A0A2J8RCM2,RAD52 motif-containing protein 1,236,Pongo abelii
A0A7V2HEJ2,Rad52/22 double-strand break repair protein,403,Bryobacteraceae bacterium
A0A1G4MD53,DNA repair protein RAD59,197,Lachancea fermentati
A0A1N6H387,Rad52/22 double-strand break repair protein,240,Singulisphaera sp. GP187
A0A1N7IB14,CobW C-terminal domain-containing protein,188,Chryseobacterium joostei
A0A326QN97,DNA repair protein Rad52,263,Cyanobium sp.
A0A4V2QG24,Recombinase,204,Hydrogenispora ethanolica
A0A7V7E0F4,DNA repair protein Rad52,218,Deltaproteobacteria bacterium
A0A7X8N3X4,Recombinase,337,Bacillus sp. RO1
D3B0N8,DNA repair and recombination protein RAD52,214,Polysphondylium pallidum (strain ATCC 26659 / Pp 5 / PN500)
M1R6I2,Prophage protein,281,Bacillus thuringiensis serovar thuringiensis str. IS5056
A0A1Q2L4G3,Recombinase,326,Planococcus lenghuensis
A0A4P6U509,Recombinase RecT,305,Streptomyces seoulensis
A0A7Y8ITV8,DNA repair protein Rad52,219,Syntrophaceae bacterium
J4A276,Prophage protein,282,Bacillus thuringiensis HD-771
A0A120E6U7,Rad52/22 double-strand break repair protein,202,Rhodotorula sp. JG-1b
A0A1F6C3H6,DNA repair protein Rad52,165,Handelsmanbacteria sp. (strain RIFCSPLOWO2_12_FULL_64_10)
A0A1Q3A9Y5,DNA repair protein RAD59,194,Zygosaccharomyces rouxii
A0A2S9SQ58,DNA repair protein Rad52,235,Aliarcobacter cryaerophilus
A0A2V9CAS7,Rad52/22 double-strand break repair protein,337,Acidobacteria bacterium
A0A7G8E2F8,Rad52/22 double-strand break repair protein,262,Synechococcus sp. A15-44
C6RFJ5,DNA repair protein Rad52,237,Campylobacter showae RM3277
H1PPH5,Rad52/22 double-strand break repair protein,267,Fusobacterium ulcerans 12-1B
I4BAB1,Recombinase,257,Turneriella parva (strain ATCC BAA-1111 / DSM 21527 / NCTC 11395 / H)
K2H7C2,Rad52/22 double-strand break repair protein,189,Entamoeba nuttalli (strain P19)
M2RF05,Rad52/22 double-strand break repair protein,189,Entamoeba histolytica KU27
A0A2C1K7H5,Recombinase,337,Bacillus sp. AFS040349
A0A5K1UFM4,Rad52/22 double-strand break repair protein,189,Entamoeba histolytica
A0A7T5UN35,VRR-NUC domain-containing protein,169,Candidatus Daviesbacteria bacterium
C5DFD0,DNA repair protein RAD59,213,Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284)
G5AEN1,RAD52,129,Phytophthora sojae (strain P6497)
A0A3Q0R5Z0,"RAD52 homolog, DNA repair protein",289,Amphilophus citrinellus
A0A3R7QF87,RRM domain-containing protein,277,Penaeus vannamei
A0A4P5VDN7,Rad52/22 double-strand break repair protein,261,Cyanobium sp.
I4BA79,Recombinase,257,Turneriella parva (strain ATCC BAA-1111 / DSM 21527 / NCTC 11395 / H)
A0A2G2GJR8,Rad52/22 double-strand break repair protein,230,Robiginitomaculum sp.
A0A399ZXL9,Recombinase,276,Chloroflexi bacterium
A0A5M8TE50,Prophage protein,282,Bacillus cereus
A0A6G0HUC2,RAD52 motif-containing protein 1,266,Larimichthys crocea
A1BZ72,Prophage protein,282,Bacillus cereus
R9XEP4,DNA repair protein RAD59,204,Ashbya aceri
A0A2D5TAF4,Rad52/22 double-strand break repair protein,223,Gammaproteobacteria bacterium
A0A2M7PR84,Recombinase,280,Candidatus Atribacteria bacterium CG_4_10_14_3_um_filter_34_13
A0A2S9TMN1,DNA repair protein Rad52,240,Aliarcobacter cryaerophilus
A0A2W7BDU1,Rad52/22 double-strand break repair protein,265,Cyanobium sp.
A0A421JL82,DNA repair protein RAD59,196,Spathaspora sp. JA1
A0A6G1SYH3,Single-stranded DNA-binding protein,227,Dehalococcoidia bacterium
A0A6L8E527,DNA repair protein Rad52,222,Chloroflexi bacterium
A0A7G8EGG7,Rad52/22 double-strand break repair protein,262,Synechococcus sp. BMK-MC-1
W6MHJ4,DNA repair protein RAD59,183,Kuraishia capsulata CBS 1993
W9ED40,Single-stranded DNA-binding protein,253,Thermoanaerobacterium aotearoense SCUT27
A0A2B4FHI9,Prophage protein,282,Bacillus sp. AFS059628
A0A2D6M984,Recombinase,209,Candidatus Pacearchaeota archaeon
A0A378NS25,Rad52/22 double-strand break repair protein,250,Megamonas hypermegale
A0A3B4BGN6,RAD52,115,Periophthalmus magnuspinnatus
A0A419FHZ0,ERF family protein,224,Dehalococcoidia bacterium
A0A421J6K8,DNA repair protein RAD59,188,Meyerozyma sp. JA9
A0A6P3RK86,RAD52 motif-containing protein 1,138,Pteropus vampyrus
C4M9M3,Rad52/22 double-strand break repair protein,189,Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)
M3UNU2,Rad52/22 double-strand break repair protein,189,Entamoeba histolytica HM-1:IMSS-B
S5P409,DNA repair protein Rad52,240,Aliarcobacter butzleri 7h1h
A0A177ED94,DNA repair and recombination protein RAD52,212,Nematocida displodere
A0A2D5P6Q6,DNA repair protein Rad52,240,Arcobacter sp.
A0A3D0P0R0,Rad52/22 double-strand break repair protein,230,Blastocatellia bacterium
A0A837JH66,DNA repair protein Rad52,240,Aliarcobacter butzleri L354
A0A841H2C8,Recombinase,250,Longimicrobium terrae
G8BQF7,DNA repair protein RAD59,200,Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5)
J8HP16,Prophage protein,282,Bacillus mycoides
A0A1W0E8I1,RAD52,213,Enterocytozoon hepatopenaei
A0A4Q0ZRT2,DNA repair protein Rad52,239,Aliarcobacter trophiarum LMG 25534
A0A7D3QTJ3,DNA repair protein Rad52,237,Campylobacter curvus
M7WYU4,Rad52/22 double-strand break repair protein,189,Entamoeba histolytica HM-3:IMSS
A0A4P9ZS55,DNA repair and recombination protein RAD52,202,Dimargaris cristalligena
A0A5C2HDI9,DNA repair protein Rad52,241,[Arcobacter] porcinus
A0A7J5ZWL9,RAD52 motif-containing protein 1,280,Ameiurus melas
A0A7J8JLQ5,"RAD52 homolog, DNA repair protein",257,Rousettus aegyptiacus
A0A7S7RNK0,DNA repair protein RAD59,235,Candidatus Sulfurimonas baltica
A0A0G9KNZ5,DNA repair protein Rad52,240,Aliarcobacter butzleri L355
A0A136K8K1,ERF family protein,234,Acidobacteria bacterium OLB17
A0A1T4QT60,Rad52/22 double-strand break repair protein,271,Treponema berlinense
A0A2K6D2K4,LRAT domain-containing protein,103,Macaca nemestrina
A0A6L3B923,Prophage protein,282,Bacillus sp. TE8-1
A0A243CWQ3,Prophage protein,282,Bacillus thuringiensis serovar vazensis
A0A4C2E7J5,DNA repair protein RAD59,194,Zygosaccharomyces mellis
A0A5K1V5C9,Astacin domain-containing protein,261,Entamoeba histolytica
A0A5P8P107,DNA repair protein RAD52,229,Sulfurimonas lithotrophica
H6CDW5,Rad52/22 double-strand break repair protein,267,Paenibacillus sp. Aloe-11
M2Q7C3,Astacin domain-containing protein,261,Entamoeba histolytica KU27
N9UWE2,Rad52/22 double-strand break repair protein,189,Entamoeba histolytica HM-1:IMSS-A
A0A168ILH4,DNA repair and recombination protein RAD59,198,Mucor lusitanicus CBS 277.49
A0A2W5JR56,DNA repair protein Rad52,241,Aliarcobacter butzleri
A0A321LG36,Rad52/22 double-strand break repair protein,339,Candidatus Angelobacter sp. Gp1-AA117
A0A363D209,DNA repair protein Rad52,241,Arcobacter lacus
C6H831,RAD52 DNA repair protein RADC,204,Ajellomyces capsulatus (strain H143)
I3WBQ0,Single-stranded DNA-binding protein,253,Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485)
A0A1Y3Q1X7,DNA repair protein Rad52,322,Parageobacillus thermoglucosidasius
A0A212UIF3,Rad52/22 double-strand break repair protein,298,Streptomyces sp. 2114.4
A0A2V9W7J4,Rad52/22 double-strand break repair protein,272,Acidobacteria bacterium
A0A359LWV4,Rad52/22 double-strand break repair protein,410,Bryobacterales bacterium
A0A3C1NC93,DUF968 domain-containing protein,374,Hyphomicrobiales bacterium
A0A3Q1BC49,RAD52 motif-containing protein 1,270,Amphiprion ocellaris
A0A5C3QHT6,Rad52/22 double-strand break repair protein,215,Pterula gracilis
A0A7S7LYX6,DNA repair protein RAD59,237,Candidatus Sulfurimonas marisnigri
A0A7X2EEU4,Prophage protein,282,Bacillus thuringiensis
A0A126JJ99,Single-stranded DNA-binding protein,268,Clostridium botulinum
A0A1B2JC39,DNA repair protein RAD59,178,Komagataella pastoris
A0A1S3A5L1,RAD52 motif-containing protein 1,240,Erinaceus europaeus
A0A3B5LCR9,RRM domain-containing protein,236,Xiphophorus couchianus
A0A3Q0FZL7,RRM domain-containing protein,256,Alligator sinensis
A0A484CND4,RAD52 motif-containing protein 1,272,Perca flavescens
A0A846JTT8,Single-stranded DNA-binding protein,262,Clostridium botulinum
C3DX29,Prophage protein,282,Bacillus thuringiensis serovar sotto str. T04001
C4MA66,Astacin domain-containing protein,261,Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)
H3HDP1,Rad52/22 double-strand break repair protein,226,Phytophthora ramorum
A0A1F2MAQ0,Recombinase,260,Klebsiella sp. HMSC16C06
A0A1F9B786,Rad52/22 double-strand break repair protein,219,Deltaproteobacteria bacterium RBG_13_47_9
A0A231HRL3,Prophage protein,281,Bacillus thuringiensis
A0A2E7CZA8,Rad52/22 double-strand break repair protein,276,Planctomycetaceae bacterium
A0A396Q6D9,DUF4357 domain-containing protein,200,Butyricicoccus sp. OF10-2
E3TE03,RAD52 motif-containing protein 1,280,Ictalurus punctatus
A0A2B4KZL8,Prophage protein,282,Bacillus thuringiensis
A0A366ML20,DNA repair protein Rad52,241,Arcobacter sp. CECT 9188
A0A4Q7XYK1,Rad52/22 double-strand break repair protein,333,Edaphobacter modestus
A0A6P7SBJ6,RRM domain-containing protein,300,Octopus vulgaris
G8Y4D9,DNA repair protein RAD59,190,Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)
A0A0F6FHX9,Prophage protein,281,Bacillus thuringiensis subsp. kurstaki
A0A126JHX6,Single-stranded DNA-binding protein,268,Clostridium botulinum
A0A1H6SN75,Phage protein,288,Deinococcus reticulitermitis
A0A243P1U6,Prophage protein,282,Bacillus thuringiensis subsp. medellin
A0A2J8S3R6,RAD52,119,Pongo abelii
A0A5K7ZJ16,Single-stranded DNA-binding protein,225,Desulfosarcina ovata subsp. sediminis
A0A7S7LTP5,DNA repair protein RAD59,232,Candidatus Sulfurimonas baltica
A0A7V3EKM3,HEAT repeat domain-containing protein,338,Planctomycetes bacterium
H0GDS7,DNA repair protein RAD59,206,Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)
K4ZI13,Recombinase,254,Paenibacillus alvei (strain ATCC 6344 / DSM 29 / NBRC 3343 / NCIMB 9371 / NCTC 6352)
Q2B8R5,Single-stranded DNA-binding protein,330,Bacillus sp. NRRL B-14911
A0A386WW55,Phage recombination protein Bet,368,Micromonospora tulbaghiae
A0A4W5R1E7,RAD52 motif-containing protein 1,280,Hucho hucho
A3ZAT0,Rad52/22 double-strand break repair protein,277,Synechococcus sp. RS9917
B9J6G7,Prophage protein,282,Bacillus cereus (strain Q1)
K3X8P0,DNA repair protein RAD59,188,Globisporangium ultimum (strain ATCC 200006 / CBS 805.95 / DAOM BR144)
Q6BUR0,DNA repair protein RAD59,196,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968)
A0A0F9VE73,Recombinase,217,marine sediment metagenome
A0A1L0C450,Rad21_Rec8 domain-containing protein,186,[Candida] intermedia
A0A3B3Z5V5,RRM domain-containing protein,271,Poecilia mexicana
A0A433PJP5,Essential recombination function protein,191,Endogone sp. FLAS-F59071
A0A443TV25,DNA repair protein Rad52,247,Arcobacter venerupis
A0A5D4SEQ2,DNA repair protein,342,Bacillus infantis
A0A7J6DAI7,RRM domain-containing protein,281,Onychostoma macrolepis
A0A1G4JFQ3,DNA repair protein RAD59,208,Lachancea dasiensis
A0A1G7WQN8,Recombinase,184,Aneurinibacillus thermoaerophilus
A0A1L0BT94,Rad21_Rec8 domain-containing protein,186,[Candida] intermedia
A0A2A3HV84,Rad52/22 double-strand break repair protein,298,Streptomyces sp. 2321.6
A0A2P7MZB8,Rad52/22 double-strand break repair protein,263,Cyanobium usitatum str. Tous
A0A399WP13,Rad52/22 double-strand break repair protein,237,Acidobacteria bacterium
A0A7V0UDM4,Rad52/22 double-strand break repair protein,299,Acidobacteria bacterium
B0EIU9,RRM domain-containing protein,261,Entamoeba dispar (strain ATCC PRA-260 / SAW760)
M7W1N2,Astacin domain-containing protein,261,Entamoeba histolytica HM-3:IMSS
A0A0H5CFS0,DNA repair protein RAD59,191,Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542)
A0A1N7GHG5,Recombinase,266,Williamsia sterculiae
A0A243JGJ3,Prophage protein,282,Bacillus thuringiensis serovar pirenaica
A0A2E4P8E7,DNA repair protein Rad52,260,Flavobacterium sp.
A0A2S9SYS9,DNA repair protein Rad52,244,Aliarcobacter cryaerophilus
A0A3C0BSC5,DUF968 domain-containing protein,374,Hyphomicrobiales bacterium
M3UTK5,Astacin domain-containing protein,261,Entamoeba histolytica HM-1:IMSS-B
A0A0G9K1E6,DNA repair protein Rad52,244,Aliarcobacter butzleri L348
A0A126JIN5,Single-stranded DNA-binding protein,268,Clostridium botulinum
A0A160MI85,Rad52/22 family double-strand break repair protein,342,Cytobacillus oceanisediminis 2691
A0A1C0B5A0,DNA repair protein Rad52,243,Aliarcobacter thereius
A0A1Z4JFG9,Single-stranded DNA-binding protein,265,Leptolyngbya boryana NIES-2135
A0A2S9SKB1,DNA repair protein Rad52,243,Aliarcobacter cryaerophilus
A0A2S9SZ96,DNA repair protein Rad52,243,Aliarcobacter cryaerophilus
A0A399EYE9,DNA repair protein Rad52,211,Meiothermus luteus
A0A3C0X148,DNA repair protein Rad52,266,Oscillospiraceae bacterium
A0A6I4Z049,DNA repair protein Rad52,239,Dehalococcoidia bacterium
A0A6J2PBG4,RRM domain-containing protein,263,Cottoperca gobio
A0A6J4MWZ6,Recombinase,259,uncultured Gemmatimonadetes bacterium
A0A243L5Z1,Prophage protein,275,Bacillus thuringiensis subsp. higo
A0A7C1VW15,Phage portal protein,311,bacterium
A0A7J8G199,RAD52,121,Molossus molossus
A0A848BWU2,DNA repair protein Rad52,258,Megasphaera hexanoica
D0NWI8,RAD52 motif-containing protein 1,126,Phytophthora infestans (strain T30-4)
A0A243BRF8,Prophage protein,282,Bacillus thuringiensis serovar pingluonsis
A0A350UGY7,Rad52/22 double-strand break repair protein,410,Bryobacterales bacterium
A0A3P9A1X6,RAD52 motif-containing protein 1,280,Esox lucius
A0A3R9Q6L9,Rad52/22 double-strand break repair protein,309,Edaphobacter aggregans
A0A6L8E2H4,DNA repair protein Rad52,219,Chloroflexi bacterium
A0A321LX81,Recombinase,342,Candidatus Angelobacter sp. Gp1-AA117
A0A7D4CWW0,Prophage protein,282,Bacillus cereus
A0A7V3FZA3,Rad52/22 double-strand break repair protein,274,Gemmataceae bacterium
F4PZE8,Rad52/22 double-strand break repair protein,213,Cavenderia fasciculata (strain SH3)
A0A2V8RI07,Rad52/22 double-strand break repair protein,235,Acidobacteria bacterium
A0A496Y7X3,Recombinase,248,Deltaproteobacteria bacterium
A0A524RMH6,Rad52/22 double-strand break repair protein,282,Aphanocapsa feldmannii 277cV
D3PR53,Rad52/22 double-strand break repair protein,211,Meiothermus ruber (strain ATCC 35948 / DSM 1279 / VKM B-1258 / 21)
A0A137P4A6,RAD52 DNA repair protein RADC,196,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638)
A0A6J3I489,RRM domain-containing protein,260,Sapajus apella
A0A7Z8S353,Prophage protein,282,Bacillus sp. AR13-1
D2V9Y1,YcaO domain-containing protein,124,Naegleria gruberi
A0A0P6Y1S2,SWIM-type domain-containing protein,359,Ornatilinea apprima
A0A2C1LPM8,Recombinase,302,Bacillus cereus
A0A4Q9TL25,Rad52/22 double-strand break repair protein,320,Lysinibacillus sp. OL1
A0A6H9J2Z9,Prophage protein,282,Bacillus sp. BPN334
A0A6M0V6S4,Single-stranded DNA-binding protein,262,Clostridium botulinum
K9D2Z5,Recombinase,252,Veillonella seminalis ACS-216-V-Col6b
A0A2J8LJK0,RRM domain-containing protein,213,Pan troglodytes
A0A2K5L9P2,Retrotransposon protein,121,Cercocebus atys
A0A4Q0YZH9,DNA repair protein Rad52,249,Arcobacter sp. F155
